Alpha         CAS              TCCSD            CASCCSD    
0.00   -2.1112942269   -2.1312165222   -2.1302354824
0.05   -2.1542730281   -2.1745644826   -2.1735700919
0.10   -2.1812393964   -2.2017702113   -2.2007551840
0.15   -2.1979242587   -2.2185750059   -2.2175326543
0.20   -2.2083202662   -2.2289904712   -2.2279146827
0.25   -2.2148080959   -2.2354705843   -2.2343611438
0.30   -2.2188095409   -2.2394929211   -2.2383497359
0.35   -2.2211557008   -2.2419170886   -2.2407361206
0.40   -2.2223471116   -2.2432242848   -2.2420024750
0.45   -2.2227025625   -2.2436411164   -2.2423986591
