Alpha         CAS              TCCSD            CASCCSD    
0.00   -1.9938527205   -2.0853125585   -2.0856213771
0.05   -2.0529053462   -2.1400237648   -2.1418573550
0.10   -2.0986471204   -2.1840574598   -2.1854710134
0.15   -2.1274174009   -2.2115446729   -2.2127515783
0.20   -2.1452439831   -2.2283037177   -2.2294274048
0.25   -2.1564458101   -2.2385496774   -2.2396853401
0.30   -2.1636225544   -2.2448300377   -2.2460584865
0.35   -2.1682309924   -2.2486321204   -2.2500094608
0.40   -2.1710840353   -2.2508368332   -2.2523773695
0.45   -2.1726393950   -2.2519656958   -2.2536334225
0.50   -2.1731334367   -2.2523090003   -2.2540249765
