1a 1b -> 3a 3b -3.40890317e-02
1a 1b -> 4a 4b -2.77903349e-02
1a 1b -> 5a 3b  7.80486536e-05
1a 1b -> 5a 5b -1.66949783e-02
1a 1b -> 6a 6b -1.60344774e-02
1a 1b -> 7a 7b -1.60344774e-02
1a 1b -> 8a 8b -1.53082432e-02
1a 1b -> 9a 9b -1.53082432e-02
1a 1b -> 10a 4b -1.43588082e-04
1a 1b -> 10a 10b -1.48530973e-02
2a 1b -> 4a 3b -3.12505436e-02
2a 1b -> 5a 4b -4.18089299e-03
2a 1b -> 8a 6b  1.56708159e-02
2a 1b -> 8a 7b -5.11134472e-03
2a 1b -> 9a 6b -5.11134472e-03
2a 1b -> 9a 7b -1.56708159e-02
2a 1b -> 10a 3b -5.51278277e-03
2a 1b -> 10a 5b  1.61735799e-02
2a 2b -> 3a 3b -3.74108720e-02
2a 2b -> 4a 4b -3.06676611e-02
2a 2b -> 5a 3b -8.29714655e-05
2a 2b -> 5a 5b -1.58205674e-02
2a 2b -> 6a 6b -1.62459879e-02
2a 2b -> 7a 7b -1.62459879e-02
2a 2b -> 8a 8b -1.69294699e-02
2a 2b -> 9a 9b -1.69294699e-02
2a 2b -> 10a 4b  1.23408988e-04
2a 2b -> 10a 10b -1.65056050e-02
