2a 2b 1a 1b -> 5a 5b 4a 4b -2.74359471e-06
2a 2b 1a 1b -> 6a 6b 5a 5b  1.16928536e-06
3a 2b 2a 1a -> 6a 5b 5a 4a  1.56705000e-06
3a 2b 2a 1b -> 6a 5b 5a 4b  2.14240915e-06
3a 2b 2a 1b -> 6a 6b 4a 4b  1.37966944e-06
3a 3b 1a 1b -> 5a 5b 4a 4b  2.23011828e-06
3a 3b 1a 1b -> 6a 6b 5a 5b  2.18200178e-06
3a 3b 2a 2b -> 5a 5b 4a 4b  1.47535357e-06
3a 3b 2a 1b -> 6a 5b 4a 4b  1.32699996e-06
3a 3b 2a 1a -> 6a 6b 5a 4a -8.12936126e-07
3a 3b 2a 1b -> 6a 6b 5a 4b  1.12751357e-06
3a 3b 2a 2b -> 6a 6b 5a 5b -2.19874864e-06
