Label                            MRCC              HTCC              Difference     
1b -> 4b                         -0.0029307027    -0.0029306745     0.0000000281 
1b -> 6b                          0.0000233203    -0.0000233249     0.0000466453 
3b -> 4b                         -0.0000103163    -0.0000103280     0.0000000117 
3b -> 6b                          0.0011489944    -0.0011490214     0.0022980158 
2b -> 5b                         -0.0021031266    -0.0021031421     0.0000000155 
1a -> 4a                         -0.0029307027    -0.0029306745     0.0000000281 
1a -> 6a                          0.0000233203    -0.0000233249     0.0000466453 
3a -> 4a                         -0.0000103163    -0.0000103280     0.0000000117 
3a -> 6a                          0.0011489944    -0.0011490214     0.0022980158 
2a -> 5a                         -0.0021031266    -0.0021031421     0.0000000155 
1b 3b -> 4b 6b                    0.0000076626    -0.0000076626     0.0000153252 
1b 2b -> 4b 5b                    0.0000785507     0.0000785507     0.0000000001 
1b 2b -> 5b 6b                    0.0001017236    -0.0001017235     0.0002034471 
2b 3b -> 4b 5b                   -0.0000822142    -0.0000822142     0.0000000000 
2b 3b -> 5b 6b                   -0.0001067622     0.0001067623     0.0002135245 
1a 1b -> 4a 4b                   -0.0261429942    -0.0261429866     0.0000000077 
1a 1b -> 6a 4b                    0.0074723496    -0.0074723312     0.0149446808 
1a 1b -> 4a 6b                    0.0074723496    -0.0074723312     0.0149446808 
1a 1b -> 6a 6b                   -0.0196896961    -0.0196896911     0.0000000050 
3a 1b -> 4a 4b                   -0.0089832459    -0.0089832422     0.0000000037 
3a 1b -> 6a 4b                    0.0240924183    -0.0240924179     0.0481848362 
3a 1b -> 4a 6b                    0.0240847557    -0.0240847553     0.0481695110 
3a 1b -> 6a 6b                   -0.0072299224    -0.0072299235     0.0000000010 
1a 3b -> 4a 4b                   -0.0089832459    -0.0089832422     0.0000000037 
1a 3b -> 6a 4b                    0.0240847557    -0.0240847553     0.0481695110 
1a 3b -> 4a 6b                    0.0240924183    -0.0240924179     0.0481848362 
1a 3b -> 6a 6b                   -0.0072299224    -0.0072299235     0.0000000010 
3a 3b -> 4a 4b                   -0.0300581382    -0.0300581445     0.0000000062 
3a 3b -> 6a 4b                    0.0087365162    -0.0087365353     0.0174730515 
3a 3b -> 4a 6b                    0.0087365162    -0.0087365353     0.0174730515 
3a 3b -> 6a 6b                   -0.0225623692    -0.0225623756     0.0000000064 
2a 2b -> 4a 4b                   -0.0189887838    -0.0189887853     0.0000000015 
2a 2b -> 6a 4b                   -0.0160032190     0.0160032188     0.0320064378 
2a 2b -> 4a 6b                   -0.0160032190     0.0160032188     0.0320064378 
2a 2b -> 6a 6b                   -0.0137803971    -0.0137803957     0.0000000014 
1a 1b -> 5a 5b                   -0.0155208096    -0.0155208224     0.0000000128 
3a 1b -> 5a 5b                    0.0163668203     0.0163668212     0.0000000009 
1a 3b -> 5a 5b                    0.0163668203     0.0163668212     0.0000000009 
3a 3b -> 5a 5b                   -0.0176681267    -0.0176681140     0.0000000127 
2a 2b -> 5a 5b                   -0.0328584030    -0.0328584031     0.0000000001 
1a 2b -> 4a 5b                   -0.0170819279    -0.0170819356     0.0000000077 
1a 2b -> 6a 5b                   -0.0145409697     0.0145409749     0.0290819446 
3a 2b -> 4a 5b                    0.0182432382     0.0182432323     0.0000000059 
3a 2b -> 6a 5b                    0.0154782701    -0.0154782636     0.0309565337 
2a 1b -> 4a 5b                   -0.0171604786    -0.0171604863     0.0000000077 
2a 1b -> 6a 5b                   -0.0144392461     0.0144392514     0.0288784976 
2a 3b -> 4a 5b                    0.0181610240     0.0181610181     0.0000000059 
2a 3b -> 6a 5b                    0.0155850323    -0.0155850259     0.0311700582 
1a 2b -> 5a 4b                   -0.0171604786    -0.0171604863     0.0000000077 
1a 2b -> 5a 6b                   -0.0144392461     0.0144392514     0.0288784976 
3a 2b -> 5a 4b                    0.0181610240     0.0181610181     0.0000000059 
3a 2b -> 5a 6b                    0.0155850323    -0.0155850259     0.0311700582 
2a 1b -> 5a 4b                   -0.0170819279    -0.0170819356     0.0000000077 
2a 1b -> 5a 6b                   -0.0145409697     0.0145409749     0.0290819446 
2a 3b -> 5a 4b                    0.0182432382     0.0182432323     0.0000000059 
2a 3b -> 5a 6b                    0.0154782701    -0.0154782636     0.0309565337 
1a 3a -> 4a 6a                    0.0000076626    -0.0000076626     0.0000153252 
1a 2a -> 4a 5a                    0.0000785507     0.0000785507     0.0000000001 
1a 2a -> 5a 6a                    0.0001017236    -0.0001017235     0.0002034471 
2a 3a -> 4a 5a                   -0.0000822142    -0.0000822142     0.0000000000 
2a 3a -> 5a 6a                   -0.0001067622     0.0001067623     0.0002135245 
1b 2b 3b -> 4b 5b 6b              0.0000001503    -0.0000001503     0.0000003006 
1a 1b 3b -> 4a 4b 6b             -0.0002319895     0.0002319896     0.0004639792 
1a 1b 3b -> 6a 4b 6b              0.0000014153     0.0000014154     0.0000000001 
3a 1b 3b -> 4a 4b 6b             -0.0000033000     0.0000033001     0.0000066001 
3a 1b 3b -> 6a 4b 6b             -0.0002081332    -0.0002081333     0.0000000001 
2a 1b 2b -> 4a 4b 6b              0.0001094295    -0.0001094294     0.0002188589 
2a 1b 2b -> 6a 4b 6b             -0.0000986757    -0.0000986757     0.0000000000 
2a 2b 3b -> 4a 4b 6b             -0.0001202738     0.0001202738     0.0002405476 
2a 2b 3b -> 6a 4b 6b              0.0001115092     0.0001115092     0.0000000001 
1a 1b 3b -> 5a 4b 5b             -0.0001238750    -0.0001238750     0.0000000000 
1a 1b 3b -> 5a 5b 6b             -0.0001108404     0.0001108404     0.0002216808 
3a 1b 3b -> 5a 4b 5b             -0.0001189124    -0.0001189125     0.0000000001 
3a 1b 3b -> 5a 5b 6b             -0.0000984229     0.0000984230     0.0001968459 
2a 1b 2b -> 5a 4b 5b              0.0000101824     0.0000101824     0.0000000000 
2a 1b 2b -> 5a 5b 6b             -0.0000008113     0.0000008113     0.0000016226 
2a 2b 3b -> 5a 4b 5b              0.0000025189     0.0000025189     0.0000000000 
2a 2b 3b -> 5a 5b 6b             -0.0000111615     0.0000111615     0.0000223230 
1a 1b 2b -> 4a 4b 5b              0.0001244514     0.0001244514     0.0000000000 
1a 1b 2b -> 6a 4b 5b             -0.0000101107     0.0000101107     0.0000202214 
1a 1b 2b -> 4a 5b 6b              0.0001096344    -0.0001096344     0.0002192688 
1a 1b 2b -> 6a 5b 6b              0.0000000311     0.0000000310     0.0000000000 
3a 1b 2b -> 4a 4b 5b              0.0000025757     0.0000025758     0.0000000001 
3a 1b 2b -> 6a 4b 5b              0.0001102682    -0.0001102681     0.0002205363 
3a 1b 2b -> 4a 5b 6b              0.0000028462    -0.0000028463     0.0000056926 
3a 1b 2b -> 6a 5b 6b              0.0000811025     0.0000811025     0.0000000000 
1a 2b 3b -> 4a 4b 5b             -0.0001464306    -0.0001464306     0.0000000000 
1a 2b 3b -> 6a 4b 5b              0.0000030518    -0.0000030519     0.0000061037 
1a 2b 3b -> 4a 5b 6b             -0.0001189973     0.0001189974     0.0002379947 
1a 2b 3b -> 6a 5b 6b              0.0000029361     0.0000029361     0.0000000000 
3a 2b 3b -> 4a 4b 5b              0.0000032481     0.0000032480     0.0000000001 
3a 2b 3b -> 6a 4b 5b             -0.0001165758     0.0001165759     0.0002331517 
3a 2b 3b -> 4a 5b 6b             -0.0000114968     0.0000114969     0.0000229937 
3a 2b 3b -> 6a 5b 6b             -0.0000985343    -0.0000985344     0.0000000000 
2a 1b 3b -> 4a 4b 5b             -0.0001438548    -0.0001438548     0.0000000000 
2a 1b 3b -> 6a 4b 5b              0.0001131697    -0.0001131697     0.0002263394 
2a 1b 3b -> 4a 5b 6b             -0.0001163014     0.0001163014     0.0002326028 
2a 1b 3b -> 6a 5b 6b              0.0000840386     0.0000840386     0.0000000001 
1a 1b 2b -> 5a 4b 6b              0.0000995237    -0.0000995237     0.0001990474 
3a 1b 2b -> 5a 4b 6b              0.0001129641    -0.0001129641     0.0002259283 
1a 2b 3b -> 5a 4b 6b             -0.0001160958     0.0001160958     0.0002321916 
3a 2b 3b -> 5a 4b 6b             -0.0001280727     0.0001280728     0.0002561454 
2a 1b 3b -> 5a 4b 6b             -0.0000029814     0.0000029814     0.0000059627 
1a 3a 1b -> 4a 6a 4b             -0.0002319895     0.0002319896     0.0004639792 
1a 3a 1b -> 4a 6a 6b              0.0000014153     0.0000014154     0.0000000001 
1a 3a 3b -> 4a 6a 4b             -0.0000033000     0.0000033001     0.0000066001 
1a 3a 3b -> 4a 6a 6b             -0.0002081332    -0.0002081333     0.0000000001 
1a 2a 2b -> 4a 6a 4b              0.0001094295    -0.0001094294     0.0002188589 
1a 2a 2b -> 4a 6a 6b             -0.0000986757    -0.0000986757     0.0000000000 
2a 3a 2b -> 4a 6a 4b             -0.0001202738     0.0001202738     0.0002405476 
2a 3a 2b -> 4a 6a 6b              0.0001115092     0.0001115092     0.0000000001 
1a 3a 1b -> 4a 5a 5b             -0.0001238750    -0.0001238750     0.0000000000 
1a 3a 1b -> 5a 6a 5b             -0.0001108404     0.0001108404     0.0002216808 
1a 3a 3b -> 4a 5a 5b             -0.0001189124    -0.0001189125     0.0000000001 
1a 3a 3b -> 5a 6a 5b             -0.0000984229     0.0000984230     0.0001968459 
1a 2a 2b -> 4a 5a 5b              0.0000101824     0.0000101824     0.0000000000 
1a 2a 2b -> 5a 6a 5b             -0.0000008113     0.0000008113     0.0000016226 
2a 3a 2b -> 4a 5a 5b              0.0000025189     0.0000025189     0.0000000000 
2a 3a 2b -> 5a 6a 5b             -0.0000111615     0.0000111615     0.0000223230 
1a 3a 2b -> 4a 6a 5b             -0.0000029814     0.0000029814     0.0000059627 
1a 2a 1b -> 4a 6a 5b              0.0000995237    -0.0000995237     0.0001990474 
2a 3a 1b -> 4a 6a 5b             -0.0001160958     0.0001160958     0.0002321916 
1a 2a 3b -> 4a 6a 5b              0.0001129641    -0.0001129641     0.0002259283 
2a 3a 3b -> 4a 6a 5b             -0.0001280727     0.0001280728     0.0002561454 
1a 3a 2b -> 4a 5a 4b             -0.0001438548    -0.0001438548     0.0000000000 
1a 3a 2b -> 5a 6a 4b             -0.0001163014     0.0001163014     0.0002326028 
1a 3a 2b -> 4a 5a 6b              0.0001131697    -0.0001131697     0.0002263394 
1a 3a 2b -> 5a 6a 6b              0.0000840386     0.0000840386     0.0000000001 
1a 2a 1b -> 4a 5a 4b              0.0001244514     0.0001244514     0.0000000000 
1a 2a 1b -> 5a 6a 4b              0.0001096344    -0.0001096344     0.0002192688 
1a 2a 1b -> 4a 5a 6b             -0.0000101107     0.0000101107     0.0000202214 
1a 2a 1b -> 5a 6a 6b              0.0000000311     0.0000000310     0.0000000000 
2a 3a 1b -> 4a 5a 4b             -0.0001464306    -0.0001464306     0.0000000000 
2a 3a 1b -> 5a 6a 4b             -0.0001189973     0.0001189974     0.0002379947 
2a 3a 1b -> 4a 5a 6b              0.0000030518    -0.0000030519     0.0000061037 
2a 3a 1b -> 5a 6a 6b              0.0000029361     0.0000029361     0.0000000000 
1a 2a 3b -> 4a 5a 4b              0.0000025757     0.0000025758     0.0000000001 
1a 2a 3b -> 5a 6a 4b              0.0000028462    -0.0000028463     0.0000056926 
1a 2a 3b -> 4a 5a 6b              0.0001102682    -0.0001102681     0.0002205363 
1a 2a 3b -> 5a 6a 6b              0.0000811025     0.0000811025     0.0000000000 
2a 3a 3b -> 4a 5a 4b              0.0000032481     0.0000032480     0.0000000001 
2a 3a 3b -> 5a 6a 4b             -0.0000114968     0.0000114969     0.0000229937 
2a 3a 3b -> 4a 5a 6b             -0.0001165758     0.0001165759     0.0002331517 
2a 3a 3b -> 5a 6a 6b             -0.0000985343    -0.0000985344     0.0000000000 
1a 2a 3a -> 4a 5a 6a              0.0000001503    -0.0000001503     0.0000003006 
2a 1b 2b 3b -> 5a 4b 5b 6b       -0.0000015671     0.0000015671     0.0000031341 
1a 1b 2b 3b -> 4a 4b 5b 6b        0.0000007694    -0.0000007694     0.0000015388 
1a 1b 2b 3b -> 6a 4b 5b 6b        0.0000005732     0.0000005732     0.0000000000 
3a 1b 2b 3b -> 4a 4b 5b 6b       -0.0000009966     0.0000009966     0.0000019932 
3a 1b 2b 3b -> 6a 4b 5b 6b       -0.0000008130    -0.0000008129     0.0000000000 
1a 3a 1b 3b -> 4a 6a 4b 6b        0.0000005158     0.0000005158     0.0000000000 
1a 2a 1b 2b -> 4a 6a 4b 6b        0.0000004338     0.0000004338     0.0000000000 
2a 3a 1b 2b -> 4a 6a 4b 6b        0.0000013797     0.0000013797     0.0000000000 
1a 2a 2b 3b -> 4a 6a 4b 6b        0.0000013797     0.0000013797     0.0000000000 
2a 3a 2b 3b -> 4a 6a 4b 6b        0.0000009312     0.0000009312     0.0000000000 
1a 3a 1b 3b -> 4a 5a 4b 5b        0.0000022301     0.0000022301     0.0000000000 
1a 3a 1b 3b -> 5a 6a 4b 5b        0.0000005400    -0.0000005400     0.0000010799 
1a 3a 1b 3b -> 4a 5a 5b 6b        0.0000005400    -0.0000005400     0.0000010799 
1a 3a 1b 3b -> 5a 6a 5b 6b        0.0000021820     0.0000021820     0.0000000000 
1a 2a 1b 2b -> 4a 5a 4b 5b       -0.0000027436    -0.0000027436     0.0000000000 
1a 2a 1b 2b -> 5a 6a 4b 5b       -0.0000000651     0.0000000652     0.0000001303 
1a 2a 1b 2b -> 4a 5a 5b 6b       -0.0000000651     0.0000000652     0.0000001303 
1a 2a 1b 2b -> 5a 6a 5b 6b        0.0000011693     0.0000011693     0.0000000000 
2a 3a 1b 2b -> 4a 5a 4b 5b       -0.0000005821    -0.0000005821     0.0000000000 
2a 3a 1b 2b -> 5a 6a 4b 5b       -0.0000021424     0.0000021424     0.0000042848 
2a 3a 1b 2b -> 4a 5a 5b 6b       -0.0000005754     0.0000005754     0.0000011507 
2a 3a 1b 2b -> 5a 6a 5b 6b       -0.0000003336    -0.0000003336     0.0000000000 
1a 2a 2b 3b -> 4a 5a 4b 5b       -0.0000005821    -0.0000005821     0.0000000000 
1a 2a 2b 3b -> 5a 6a 4b 5b       -0.0000005754     0.0000005754     0.0000011507 
1a 2a 2b 3b -> 4a 5a 5b 6b       -0.0000021424     0.0000021424     0.0000042848 
1a 2a 2b 3b -> 5a 6a 5b 6b       -0.0000003336    -0.0000003336     0.0000000000 
2a 3a 2b 3b -> 4a 5a 4b 5b        0.0000014754     0.0000014754     0.0000000000 
2a 3a 2b 3b -> 5a 6a 4b 5b        0.0000006636    -0.0000006636     0.0000013271 
2a 3a 2b 3b -> 4a 5a 5b 6b        0.0000006636    -0.0000006636     0.0000013271 
2a 3a 2b 3b -> 5a 6a 5b 6b       -0.0000021988    -0.0000021987     0.0000000000 
1a 3a 1b 2b -> 4a 6a 4b 5b       -0.0000009713     0.0000009713     0.0000019426 
1a 3a 1b 2b -> 4a 6a 5b 6b       -0.0000001461    -0.0000001461     0.0000000000 
