Alpha         CAS              TCCSD            CASCCSD    
0.00   -2.0825607061   -2.0825605351   -2.0825607035
0.05   -2.1312248339   -2.1312249392   -2.1312248010
0.10   -2.1743249293   -2.1743248316   -2.1743249825
0.15   -2.2014449472   -2.2014449513   -2.2014448988
0.20   -2.2181971243   -2.2181968295   -2.2181971824
0.25   -2.2285680304   -2.2285680495   -2.2285680365
0.30   -2.2350085849   -2.2350083836   -2.2350086596
0.35   -2.2389932448   -2.2389929975   -2.2389933105
0.40   -2.2413762968   -2.2413761178   -2.2413762640
0.45   -2.2426397691   -2.2426398527   -2.2426397567
0.50   -2.2430345504   -2.2430344382   -2.2430346441
