Alpha         CAS              TCCSD            CASCCSD    
0.00   -1.9812819531   -2.0867682917   -2.0874265736
0.05   -2.0391848969   -2.1409272299   -2.1418655642
0.10   -2.0869668987   -2.1847655817   -2.1854703666
0.15   -2.1171656603   -2.2121257891   -2.2127507057
0.20   -2.1359125821   -2.2288115267   -2.2294274050
0.25   -2.1477225949   -2.2390418899   -2.2396849861
0.30   -2.1553177299   -2.2453707870   -2.2460562537
0.35   -2.1602281603   -2.2492761714   -2.2500043289
0.40   -2.1632969187   -2.2516070658   -2.2523691298
0.45   -2.1649845981   -2.2528394056   -2.2536228267
0.50   -2.1655234528   -2.2532226956   -2.2540135021
